Departamento,divisivo_depar
AREQUIPA,discriminacion alta
CALLAO,discriminacion alta
CUSCO,discriminacion alta
LA LIBERTAD,discriminacion baja
LIMA,discriminacion alta
TUMBES,discriminacion baja
